t_us,dt_us,dt_ms,ax_g,ay_g,az_g,a_mag,a_mag_filt,t_s,jerk_raw,jerk_filt
27853630,10000,10,2,1.297,1.099,2.625,2.318,27.85363,0.108,0.575
27953630,10000,10,-1.959,-1.904,0.055,2.733,1.743,27.95363,0.253,0.718
28053630,10000,10,2,0.977,1.991,2.986,2.461,28.05363,2.365,0.443
28153630,10000,10,-0.255,0.558,0.101,0.621,2.018,28.15363,1.282,0.546
28253630,10000,10,0.862,-0.856,1.465,1.903,1.472,28.25363,0.033,0.818
28353630,10000,10,1.642,0.498,-0.743,1.87,2.29,28.35363,0.007,0.462
28453630,10000,10,-0.298,-1.84,0.215,1.877,1.828,28.45363,1.034,0.521
28553630,10000,10,2,2,0.69,2.911,2.349,28.55363,0.156,0.379
28653630,10000,10,-0.81,-1.713,2,2.755,1.97,28.65363,0.711,0.078
28753630,10000,10,1.941,0.625,-0.141,2.044,1.892,28.75363,0.504,0.419
28853630,10000,10,1.28,0.852,0.096,1.54,2.311,28.85363,0.05,0.632
28953630,10000,10,0.05,-1.172,0.918,1.49,1.679,28.95363,0.948,0.12
29053630,10000,10,2,1.02,-0.95,2.438,1.799,29.05363,1.519,0.248
29153630,10000,10,0.196,-0.289,0.851,0.919,1.551,29.15363,0.1,0.368
29253630,10000,10,0.805,-0.308,0.543,1.019,1.919,29.25363,1.408,0.284
29353630,10000,10,2,1.356,0.226,2.427,2.203,29.35363,1.572,0.919
29453630,10000,10,-0.506,-0.575,0.381,0.855,1.284,29.45363,0.726,0.555
29553630,10000,10,1.512,-0.14,0.438,1.581,1.839,29.55363,0.521,0.577
29653630,10000,10,1.668,0.96,-0.845,2.102,2.416,29.65363,0.167,0.361
29753630,10000,10,-0.065,-0.646,1.823,1.935,2.055,29.75363,0.736,0.136
29853630,10000,10,2,1.333,-1.165,2.671,2.191,29.85363,0.222,0.189
29953630,10000,10,-0.827,-2,1.146,2.449,2.002,29.95363,0.003,0.079
30053630,10000,10,2,1.387,0.242,2.446,1.923,30.05363,0.397,0.189
30153630,10000,10,-0.479,-1.846,0.749,2.049,2.112,30.15363,0.045,0.04
30253630,10000,10,1.792,1.069,-0.18,2.094,2.072,30.25363,0.98,0.278
30353630,10000,10,1.066,0.222,0.234,1.114,2.35,30.35363,0.143,0.388
30453630,10000,10,0.825,-0.453,0.239,0.971,1.962,30.45363,1.321,0.373
30553630,10000,10,2,0.839,-0.742,2.292,2.335,30.55363,0.541,0.502
30653630,10000,10,-0.096,-0.808,1.551,1.751,1.833,30.65363,0.834,0.082
30753630,10000,10,2,1.327,-0.96,2.585,1.915,30.75363,0.312,0.068
30853630,10000,10,-1.078,-2,1.798,2.897,1.847,30.85363,0.275,0.028
30953630,10000,10,2,1.647,0.403,2.622,1.875,30.95363,1.369,0.201
31053630,10000,10,0.124,-1.142,0.502,1.253,2.076,31.05363,0.161,0.018
31153630,10000,10,0.979,-0.252,0.415,1.092,2.058,31.15363,1.252,0.291
31253630,10000,10,1.915,1.079,-0.816,2.344,2.349,31.25363,0.488,0.711
31353630,10000,10,-0.144,-2,2,2.832,1.638,31.35363,0.324,0.385
31453630,10000,10,2,1.51,0.099,2.508,2.023,31.45363,0.664,0.033
31553630,10000,10,-0.632,-1.414,1.001,1.844,1.99,31.55363,0.099,0.022
31653630,10000,10,1.623,0.624,-0.142,1.745,1.968,31.65363,0.305,0.317
31753630,10000,10,1.183,0.746,-0.345,1.44,2.285,31.75363,0.593,0.53
31853630,10000,10,0.093,-0.76,1.884,2.033,1.755,31.85363,0.461,0.303
31953630,10000,10,2,1.311,-0.707,2.494,2.058,31.95363,0.109,0.417
32053630,10000,10,-0.605,-1.788,1.458,2.385,1.641,32.05363,0.053,0.184
32153630,10000,10,2,1.177,0.228,2.332,1.825,32.15363,1.135,0.013
32253630,10000,10,-0.381,-0.79,0.815,1.197,1.812,32.25363,0.111,0.075
32353630,10000,10,1.241,-0.146,0.386,1.308,1.887,32.35363,1.081,0.423
32453630,10000,10,2,0.683,-1.113,2.389,2.31,32.45363,0.241,0.473
32553630,10000,10,0.478,-1.639,2,2.63,1.837,32.55363,0.153,0.048
32653630,10000,10,2,1.049,-1.018,2.477,1.885,32.65363,1.096,0.021
32753630,10000,10,-0.131,-0.93,1.013,1.381,1.906,32.75363,0.051,0.144
32853630,10000,10,1.202,0.51,-0.249,1.33,2.05,32.85363,0.579,0.311
32953630,10000,10,1.58,0.658,-0.844,1.909,2.361,32.95363,0.306,0.528
33053630,10000,10,0.189,-0.934,2,2.215,1.833,33.05363,0.506,0.121
